distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hour,avg_speed
11.8,5.0,21.5,10,E10,0,0,0,11.5,0.59,1.101,0.48333333333333334,24.413793103448278
12.3,5.6,21.5,8,E10,0,0,0,13.5,0.6888,1.285,0.9666666666666667,12.724137931034484
32.6,4.8,21.5,7,E10,0,0,0,14.5,1.5648,2.92,0.6666666666666666,48.900000000000006
19.0,4.3,21.5,7,E10,0,0,0,14.5,0.8170000000000001,1.525,0.6,31.666666666666668
12.1,5.7,21.5,8,E10,0,0,0,13.5,0.6897,1.287,0.6,20.166666666666668
20.0,5.2,21.5,4,E10,0,0,0,17.5,1.04,1.941,0.6166666666666667,32.43243243243243
4.9,7.4,21.5,6,E10,0,0,0,15.5,0.36260000000000003,0.677,0.43333333333333335,11.307692307692308
11.8,4.8,21.5,9,E10,0,0,0,12.5,0.5664,1.057,0.38333333333333336,30.782608695652172
12.3,6.5,21.5,7,E10,0,0,0,14.5,0.7995,1.492,0.9666666666666667,12.724137931034484
12.4,4.0,21.5,7,E10,1,1,0,14.5,0.496,0.926,0.9166666666666666,13.527272727272727
4.5,5.0,21.5,7,E10,1,0,0,14.5,0.225,0.42,0.48333333333333334,9.310344827586206
11.7,4.6,21.5,6,E10,0,0,0,15.5,0.5381999999999999,1.004,0.6166666666666667,18.972972972972972
10.2,4.3,21.5,7,E10,0,0,0,14.5,0.43859999999999993,0.818,0.7333333333333333,13.909090909090908
5.4,3.3,21.5,7,SP98,0,0,0,14.5,0.1782,0.341,0.5333333333333333,10.125
2.0,9.9,21.5,4,SP98,0,0,0,17.5,0.198,0.379,0.35,5.714285714285714
14.2,5.1,21.5,7,SP98,0,0,0,14.5,0.7241999999999998,1.385,0.5333333333333333,26.625
16.0,4.9,21.5,8,SP98,0,0,0,13.5,0.784,1.5,0.4166666666666667,38.4
11.8,4.9,21.5,11,SP98,0,0,0,10.5,0.5782,1.106,0.4166666666666667,28.32
27.3,4.7,21.5,10,SP98,0,0,0,11.5,1.2831000000000001,2.455,0.6,45.5
11.8,5.1,21.5,5,SP98,0,1,0,16.5,0.6018,1.151,0.48333333333333334,24.413793103448278
10.6,4.9,21.5,6,SP98,0,0,0,15.5,0.5194000000000001,0.994,1.05,10.095238095238095
11.6,4.2,21.5,7,SP98,0,0,0,14.5,0.48719999999999997,0.932,1.0166666666666666,11.40983606557377
13.1,6.1,21.5,6,SP98,0,1,0,15.5,0.7990999999999999,1.529,0.7666666666666667,17.08695652173913
6.1,6.4,21.5,8,SP98,0,0,0,13.5,0.39039999999999997,0.747,0.4666666666666667,13.071428571428571
153.5,4.9,21.5,3,SP98,0,1,0,18.5,7.5215000000000005,14.389,1.3666666666666667,112.3170731707317
